lang-id	latitude	longitude
jmc 	 -3.29385 	 37.07033
kgk 	 -24.58898 	 -54.68146
jma 	 -9.70322 	 149.60524
kgl 	 -24.21819 	 143.22246
jmd 	 -7.73722 	 131.44018
kgn 	 38.56560 	 47.43288
xtl 	 17.15386 	 -97.45778
nmz 	 7.17037 	 0.58553
xhe 	 30.47994 	 70.28278
xhd 	  	 
NOCODE_Cholti 	  	 
xho 	 -31.03886 	 28.07686
mwn 	 -9.11261 	 32.31634
xhv 	 17.40200 	 106.02094
xhu 	 40.73394 	 43.31543
xht 	 33.98333 	 40.33333
yur 	 41.32625 	 -123.82432
ygm 	 -5.74049 	 146.60263
ygl 	 -3.51156 	 142.46152
NOCODE_Konomihu 	 41.26336 	 -123.31078
ygw 	 -7.14042 	 145.85384
czh 	 29.76462 	 118.23232
NOCODE_Northern-Hmong 	 24.04194 	 104.19194
ygr 	 -6.32432 	 145.38785
ygp 	 25.70000 	 102.50000
nmx 	 -8.66403 	 141.70611
hod 	 9.96843 	 13.19949
hoe 	 9.05742 	 8.98482
hob 	 -5.97399 	 145.82807
hoc 	 23.95959 	 87.11877
hoa 	 -8.19679 	 157.59496
hoo 	 -5.37545 	 28.32738
hol 	 -8.14754 	 17.57200
wji 	 11.17175 	 9.56925
hoj 	 24.85464 	 75.83659
hoh 	 17.21605 	 52.83337
hoi 	 62.72662 	 -159.83143
hov 	 0.98410 	 113.89708
how 	 23.20739 	 101.88630
hot 	 -7.07708 	 146.86873
hor 	 9.23900 	 18.37800
hop 	 35.76526 	 -110.53483
hoz 	 9.38875 	 34.60448
hoy 	 21.52593 	 79.91637
NOCODE_Maku 	 1.35000 	 -66.43333
tqb 	 -2.61230 	 -48.23594
ypg 	 23.46740 	 102.22755
yud 	 31.95667 	 34.74222
wur 	 -11.36400 	 132.30300
NOCODE_Arazaire 	 -13.25000 	 -70.80000
wuv 	 -1.73938 	 142.85072
wuu 	 29.86209 	 119.68246
wut 	 -2.64636 	 141.10425
wuy 	 -0.28280 	 130.59741
wux 	 -12.30224 	 131.26054
wub 	 -14.83473 	 125.72002
wua 	 -13.49573 	 141.59876
NOCODE_Bigambal 	  	 
NOCODE_Nam 	  	 
wud 	 7.57619 	 1.53522
wuh 	 35.26904 	 101.95654
NOCODE_Palewyami-Yokuts 	  	 
wum 	 -2.39235 	 12.26396
wul 	 -4.52544 	 139.00335
fir 	 9.65245 	 8.69095
fip 	 -7.88963 	 31.34415
bbk 	 5.97863 	 10.28692
fiw 	 -6.66342 	 143.64603
fit 	 67.25274 	 23.06596
NOCODE_Nauo 	 -33.79661 	 135.82801
lhl 	 32.58300 	 77.00000
fia 	 22.81422 	 31.83760
fie 	 9.49936 	 9.29503
fij 	 -18.00000 	 178.33000
fin 	 64.76283 	 25.55767
fil 	 12.26500 	 123.46400
NOCODE_Xinca-Chiquimulilla 	 14.08330 	 -90.38026
mxz 	 -8.15414 	 129.86472
mxx 	 8.35480 	 -7.57109
mxy 	 17.21219 	 -97.01454
mxv 	 17.04796 	 -98.35138
mxw 	 -9.12416 	 141.82414
mxt 	 16.22794 	 -97.84167
mxu 	 10.88060 	 14.11419
mxr 	 3.75190 	 114.43380
mxs 	 16.94758 	 -97.12365
NOCODE_Barranbinya 	  	 
mxq 	 16.89123 	 -95.84841
mxn 	 -0.96532 	 131.52030
mxo 	 -14.29407 	 23.98192
mxl 	 7.57292 	 1.78180
mxm 	 -4.97468 	 151.52804
mxj 	 28.47324 	 97.04437
mxk 	 -4.27170 	 144.95019
mxh 	 0.73980 	 29.66556
mxi 	 37.87627 	 -1.79724
mxf 	 12.53419 	 14.84752
mxg 	 -9.15592 	 17.40859
mxd 	 0.80793 	 116.57330
mxe 	 -17.68407 	 168.27482
mxb 	 17.61552 	 -97.90017
mxc 	 -18.19274 	 32.80523
mxa 	 17.82871 	 -98.05743
zwa 	 8.01148 	 38.82583
NOCODE_Coroado-Puri 	 -20.26403 	 -43.61200
mdj 	 2.55110 	 27.07120
mdk 	 2.74779 	 29.73577
mdh 	 6.94530 	 124.50856
mdi 	 2.68167 	 28.98618
mdn 	 3.94184 	 17.75291
mdm 	 2.79827 	 27.82816
mdb 	 -7.62961 	 143.87996
mdc 	 -5.49975 	 145.75695
mda 	 9.02294 	 8.34119
mdf 	 54.18546 	 42.67277
mdg 	 13.51572 	 19.73483
mdd 	 7.57889 	 14.27216
mde 	 12.89147 	 20.88890
mdz 	 -5.92710 	 -48.58795
mdx 	 6.14050 	 35.57631
mdy 	 5.91975 	 36.98924
NOCODE_Mokpa 	  	 
mdr 	 -3.34717 	 119.06802
mds 	 -9.92982 	 148.30311
mdp 	 -5.11888 	 18.04096
mdq 	 -0.57181 	 24.04430
mdv 	 16.99694 	 -97.62767
mdw 	 -1.23019 	 15.53223
mdt 	 -0.47745 	 14.28768
mdu 	 0.43541 	 14.79347
NOCODE_Mabenaro 	 -11.54381 	 -68.27774
NOCODE_Macuni 	 -17.90479 	 -39.80942
smz 	 -6.23022 	 155.42269
smy 	 35.52950 	 53.28680
smx 	 -6.21344 	 17.16583
smw 	 -8.71919 	 117.47199
smv 	 18.30684 	 74.91040
smu 	 12.24296 	 103.13870
smt 	 24.54438 	 93.32650
sms 	 68.83259 	 29.72038
smr 	 2.50288 	 96.27569
smq 	 -6.15496 	 142.19520
smp 	 32.08173 	 35.44874
smo 	 -13.92000 	 -171.83000
smn 	 69.42289 	 27.86583
smm 	 26.73287 	 87.53044
sml 	 5.15416 	 119.51763
smk 	 16.30706 	 119.85270
smj 	 67.27589 	 17.80575
dsh 	 4.58878 	 35.98884
dsi 	 10.32184 	 19.21559
smg 	 -4.88618 	 151.95722
smf 	 -3.33662 	 141.25383
sme 	 68.72500 	 22.11129
smd 	 -9.86931 	 13.87134
smc 	 -6.07366 	 146.65081
smb 	 -7.02259 	 145.60346
sma 	 62.88012 	 13.70062
vbb 	 -7.94359 	 129.80038
syo 	 11.93601 	 104.13608
nmn 	 -24.20022 	 20.79583
syn 	 35.77764 	 51.43631
yif 	 24.15200 	 102.44600
yia 	 -25.44464 	 115.57998
xut 	 -17.45658 	 140.95758
atg 	 7.15307 	 6.21209
atd 	 7.77890 	 125.49920
ate 	 -5.08137 	 144.80568
atb 	 24.17265 	 98.36425
atc 	 -14.16665 	 -69.49999
xur 	 35.03333 	 44.38333
ata 	 -5.58045 	 151.05018
atn 	 37.74693 	 48.68083
NOCODE_Bafoto 	  	 
atl 	 13.45880 	 123.55216
atm 	 9.71500 	 122.90000
atj 	 47.95551 	 -73.79888
atk 	 11.15394 	 122.51179
isu 	 6.63731 	 9.96577
ati 	 5.99770 	 -3.82090
atv 	 50.89984 	 88.06722
atw 	 40.42711 	 -120.66125
isi 	 6.59158 	 8.68668
ish 	 6.25685 	 6.33917
iso 	 5.52889 	 6.24682
xua 	 11.34565 	 76.79950
xub 	 11.63852 	 76.60643
atq 	 -2.78397 	 119.31930
isc 	 -7.75236 	 -74.51927
xum 	  	 
isa 	 -5.83809 	 145.46204
xuo 	 7.97771 	 15.48432
atz 	 16.41851 	 121.65618
xuj 	 11.50414 	 76.57667
isd 	 18.21387 	 121.15990
NOCODE_Lenca-Salvador 	 13.56056 	 -88.11401
kfw 	 26.14877 	 87.91733
kft 	 25.69995 	 74.73550
kfu 	 18.96695 	 73.17329
kfr 	 23.83000 	 69.00000
qkn 	  	 
kfp 	 23.41015 	 83.81422
kfq 	 21.83579 	 77.55409
nml 	 4.58061 	 10.21966
kfz 	 14.04599 	 -1.96187
kfx 	 31.83388 	 77.37721
kfy 	 29.56215 	 80.01710
kff 	 17.67720 	 81.20964
kfg 	 12.33014 	 75.48962
kfd 	 12.91628 	 75.19999
kfe 	 11.49780 	 76.93865
kfb 	 20.10216 	 78.49338
kfc 	 18.26754 	 82.93402
kfa 	 12.24429 	 75.91608
kfn 	 6.43762 	 10.18407
kfo 	 8.11966 	 -5.73572
kfl 	 6.53881 	 10.20727
kfm 	 36.69633 	 49.37419
kfj 	 22.06028 	 101.14386
kfk 	 31.36883 	 78.31478
kfh 	 11.82263 	 75.52034
xib 	 40.62396 	 0.21240
xii 	 -28.42578 	 20.72598
xir 	 2.69932 	 -62.54131
